Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1u","C_0805_2012Metric",55.550000,46.180000,0.000000,top
"C3","0.1u","C_0805_2012Metric",71.700000,18.500000,0.000000,top
"C4","0.1u","C_0805_2012Metric",71.650000,20.800000,0.000000,top
"C5","10p","C_0805_2012Metric",81.450000,43.900000,90.000000,top
"C6","0.1u","C_0805_2012Metric",81.550000,39.450000,-90.000000,top
"C7","2.2u","C_0805_2012Metric",88.250000,39.400000,-90.000000,top
"C8","10u","C_0805_2012Metric",98.900000,44.250000,90.000000,top
"C9","0.1u","C_0805_2012Metric",96.800000,44.250000,90.000000,top
"C10","0.1u","C_0805_2012Metric",102.500000,36.850000,90.000000,top
"C12","47u","C_0805_2012Metric",119.600000,42.500678,0.000000,top
"C13","0.1u","C_0805_2012Metric",119.650000,44.800678,0.000000,top
"C14","0.1u","C_0805_2012Metric",119.550000,40.200678,0.000000,top
"C15","0.01u","C_0805_2012Metric",108.900000,40.870678,-90.000000,top
"C16","10u","C_0805_2012Metric",112.800000,46.850678,90.000000,top
"C17","47u","C_0805_2012Metric",214.900000,14.100000,-90.000000,top
"C18","10u","C_0805_2012Metric",110.650000,46.835678,90.000000,top
"C19","47u","C_0805_2012Metric",212.700000,14.100000,-90.000000,top
"C20","47u","C_0805_2012Metric",107.950000,43.900678,180.000000,top
"C21","47u","C_0805_2012Metric",119.550000,32.100000,0.000000,top
"C22","0.1u","C_0805_2012Metric",119.550000,29.900000,0.000000,top
"C23","0.1u","C_0805_2012Metric",119.550000,27.600000,0.000000,top
"C24","47u","C_0805_2012Metric",202.200000,12.850000,90.000000,top
"C25","47u","C_0805_2012Metric",199.900000,12.850000,90.000000,top
"C26","0.01u","C_0805_2012Metric",108.600000,27.650000,-90.000000,top
"C27","47u","C_0805_2012Metric",197.600000,12.850000,90.000000,top
"C28","10u","C_0805_2012Metric",110.650000,33.400000,90.000000,top
"C29","10u","C_0805_2012Metric",112.800000,33.400000,90.000000,top
"C30","47u","C_0805_2012Metric",107.800000,30.500000,180.000000,top
"C31","0.1u","C_0805_2012Metric",119.650000,48.985678,180.000000,top
"C32","0.1u","C_0805_2012Metric",119.550000,36.300000,0.000000,top
"C33","3.3n","C_0805_2012Metric",221.750000,10.200000,-90.000000,top
"C38","0.1u","C_0805_2012Metric",210.500000,14.100000,-90.000000,top
"C40","0.1u","C_0805_2012Metric",55.700000,41.000000,0.000000,top
"C44","0.1u","C_0805_2012Metric",212.550000,29.900000,0.000000,top
"C45","22nF","C_0805_2012Metric",212.600000,27.100000,0.000000,top
"D1","GREEN","LED_0805_2012Metric",219.000000,19.837500,-90.000000,top
"D2","RED","LED_0805_2012Metric",211.437500,70.050000,180.000000,top
"D3","RED","LED_0805_2012Metric",211.437500,67.950000,180.000000,top
"D4","RED","LED_0805_2012Metric",211.437500,65.850000,180.000000,top
"D5","RED","LED_0805_2012Metric",211.437500,63.750000,180.000000,top
"D6","RED","LED_0805_2012Metric",211.437500,61.650000,180.000000,top
"D7","RED","LED_0805_2012Metric",211.437500,59.550000,180.000000,top
"D8","RED","LED_0805_2012Metric",211.437500,57.450000,180.000000,top
"D9","RED","LED_0805_2012Metric",211.437500,55.350000,180.000000,top
"D10","RED","LED_0805_2012Metric",211.437500,53.250000,180.000000,top
"D11","RED","LED_0805_2012Metric",211.437500,51.150000,180.000000,top
"D12","RED","LED_0805_2012Metric",211.437500,49.050000,180.000000,top
"D13","RED","LED_0805_2012Metric",211.437500,46.950000,180.000000,top
"D14","RED","LED_0805_2012Metric",211.437500,44.850000,180.000000,top
"D15","RED","LED_0805_2012Metric",211.437500,42.750000,180.000000,top
"D16","RED","LED_0805_2012Metric",211.437500,40.650000,180.000000,top
"D17","RED","LED_0805_2012Metric",211.437500,38.550000,180.000000,top
"J1","6469028-1","TE_6469028-1",103.124000,13.716000,0.000000,top
"J2","6469028-1","TE_6469028-1",153.924000,13.716000,0.000000,top
"J3","6469028-1","TE_6469028-1",179.324000,13.716000,0.000000,top
"J4","132134","SMA_Amphenol_132134_Vertical",46.460000,46.290000,180.000000,top
"J5","5499922-4","TE_5499922-4",140.460000,67.500000,0.000000,top
"J6","39301022","MOLEX_39301022",230.070000,15.250000,90.000000,top
"J7","5499922-4","TE_5499922-4",47.540000,67.500000,0.000000,top
"L1","LSMGG160808T331RG","IND_LSMG_160808_TAY",119.450100,46.885678,0.000000,top
"L2","LSMGG160808T331RG","IND_LSMG_160808_TAY",119.400000,34.200000,0.000000,top
"Q1","NX7002BKW","SOT-323_SC-70",213.000000,19.750000,0.000000,top
"R1","31.6","R_0805_2012Metric",77.750000,41.912500,90.000000,top
"R2","31.6","R_0805_2012Metric",77.750000,45.587500,90.000000,top
"R3","20","R_0805_2012Metric",84.550000,42.900000,180.000000,top
"R4","20","R_0805_2012Metric",84.550000,45.000000,180.000000,top
"R5","10","R_0805_2012Metric",85.062500,40.400000,180.000000,top
"R6","200","R_0805_2012Metric",87.750000,44.000000,90.000000,top
"R7","205K","R_0805_2012Metric",205.900000,19.000000,180.000000,top
"R8","470","R_0805_2012Metric",217.750000,10.162500,-90.000000,top
"R9","10K","R_0805_2012Metric",221.750000,4.887500,-90.000000,top
"R10","10K","R_0805_2012Metric",209.400000,19.312500,90.000000,top
"R11","680","R_0805_2012Metric",207.627500,70.050000,0.000000,top
"R12","680","R_0805_2012Metric",207.637500,67.950000,0.000000,top
"R13","680","R_0805_2012Metric",207.637500,65.850000,0.000000,top
"R14","680","R_0805_2012Metric",207.637500,63.750000,0.000000,top
"R15","680","R_0805_2012Metric",207.637500,61.650000,0.000000,top
"R16","680","R_0805_2012Metric",207.637500,59.550000,0.000000,top
"R17","680","R_0805_2012Metric",207.637500,57.450000,0.000000,top
"R18","680","R_0805_2012Metric",207.637500,55.350000,0.000000,top
"R19","680","R_0805_2012Metric",207.637500,53.250000,0.000000,top
"R20","680","R_0805_2012Metric",207.637500,51.150000,0.000000,top
"R21","680","R_0805_2012Metric",207.637500,49.050000,0.000000,top
"R22","680","R_0805_2012Metric",207.637500,46.950000,0.000000,top
"R23","680","R_0805_2012Metric",207.637500,44.850000,0.000000,top
"R24","680","R_0805_2012Metric",207.637500,42.750000,0.000000,top
"R25","680","R_0805_2012Metric",207.637500,40.650000,0.000000,top
"R26","680","R_0805_2012Metric",207.637500,38.550000,0.000000,top
"R27","1K","R_0805_2012Metric",216.400000,19.912500,-90.000000,top
"R36","10K","R_0805_2012Metric",219.912500,27.100000,180.000000,top
"R37","10K","R_0805_2012Metric",216.300000,27.100000,180.000000,top
"R38","10K","R_0805_2012Metric",201.112500,29.650000,0.000000,top
"R39","10K","R_0805_2012Metric",201.112500,26.700000,0.000000,top
"R40","10K","R_0805_2012Metric",219.912500,29.900000,180.000000,top
"R41","10K","R_0805_2012Metric",216.200000,29.900000,180.000000,top
"R42","1K","R_0805_2012Metric",189.832500,35.500000,180.000000,top
"R43","1K","R_0805_2012Metric",189.787500,38.500000,180.000000,top
"R44","0","R_0805_2012Metric",186.112500,38.450000,180.000000,top
"R45","0","R_0805_2012Metric",186.112500,35.500000,180.000000,top
"T1","T1-1T-KK81","XFMR_T1-1T-KK81_",67.320000,43.640000,-90.000000,top
"TP1","GND","TestPoint_RCS-0C",236.500000,61.250000,0.000000,top
"TP2","GND","TestPoint_RCS-0C",195.750000,3.000000,0.000000,top
"TP3","GND","TestPoint_RCS-0C",17.300000,8.600000,0.000000,top
"TP4","GND","TestPoint_RCS-0C",15.352280,69.400000,0.000000,top
"TP5","faultn","TestPoint_RCS-0C",184.400000,42.500000,0.000000,top
"U1","200MHz","OSC_ECS-LVDS33-2000-BN",65.650000,20.790000,-90.000000,top
"U2","LTC2107CUK-PBF","QFN-48_UK_LIT",95.500000,36.500000,-90.000000,top
"U3","TPS7A8500RGRT","QFN50P350X350X100-21N",113.800000,41.085678,0.000000,top
"U4","TPSM82866AA0HRDMR","RDM0023A-MFG",206.249999,14.349999,-90.000000,top
"U5","TPS7A8500RGRT","QFN50P350X350X100-21N",113.800000,28.200000,0.000000,top
"U6","TPS259540DSGR","SON50P200X200X80-9N",220.000000,14.750000,180.000000,top
"U7","SN74LVC16T245DGGR","SOP50P810X120-48N",193.225000,53.950000,0.000000,top
"U8","CAT25320VI-GT3","SOIC127P600X175-8N",190.750000,26.900000,0.000000,top
"U10","TPS3850H50DRCR","TPS3850_DRCR",207.700000,29.300000,180.000000,top
